Ticker,Persona,Return (%),MDD (%),Sharpe,Trades
0052.TW,aggressive,78.72,-8.74,3.39,7
0052.TW,moderate,31.51,-5.8,3.13,11
0052.TW,conservative,16.76,-2.42,2.51,10
2301.TW,aggressive,46.9,-14.96,1.36,11
2301.TW,moderate,38.04,-18.42,1.31,36
2301.TW,conservative,14.29,-10.61,0.88,26
2324.TW,aggressive,5.19,-19.21,0.25,9
2324.TW,moderate,7.02,-11.81,0.44,28
2324.TW,conservative,-0.25,-8.29,-0.11,20
2344.TW,aggressive,294.78,-25.86,2.98,29
2344.TW,moderate,47.43,-8.62,1.83,37
2344.TW,conservative,0.0,0.0,0.0,0
2455.TW,aggressive,128.21,-15.77,2.24,13
2455.TW,moderate,50.94,-10.61,1.7,27
2455.TW,conservative,-5.32,-11.47,-0.37,35
2481.TW,aggressive,69.29,-15.14,1.59,14
2481.TW,moderate,79.15,-11.19,2.22,43
2481.TW,conservative,17.56,-10.58,0.89,38
3006.TW,aggressive,149.11,-18.75,2.12,13
3006.TW,moderate,111.17,-16.64,2.17,44
3006.TW,conservative,25.59,-8.34,1.25,38
3231.TW,aggressive,29.68,-15.9,1.11,7
3231.TW,moderate,10.25,-9.41,0.8,25
3231.TW,conservative,8.16,-3.41,1.53,5
3481.TW,aggressive,107.09,-15.75,2.38,25
3481.TW,moderate,68.15,-9.14,2.13,42
3481.TW,conservative,16.67,-9.87,1.25,18
3563.TW,aggressive,71.41,-21.43,1.76,11
3563.TW,moderate,29.19,-22.07,1.21,35
3563.TW,conservative,34.69,-9.43,1.68,40
4916.TW,aggressive,17.49,-26.55,0.61,14
4916.TW,moderate,2.22,-16.42,0.16,48
4916.TW,conservative,-8.52,-13.42,-1.02,38
4919.TW,aggressive,85.2,-22.3,1.8,15
4919.TW,moderate,26.89,-13.68,1.18,27
4919.TW,conservative,2.02,-8.0,0.18,16
9958.TW,aggressive,-35.05,-49.22,-1.54,17
9958.TW,moderate,-16.18,-30.87,-1.01,32
9958.TW,conservative,-5.79,-20.26,-0.46,35
