Model,DL_AUC,Meta_AUC,B&H_Return(%),Return(%),MDD(%),Sharpe,Time(s)
Hybrid_GRU,0.572,0.558,103.687,2.247,-7.713,0.045,137.783
Hybrid_LSTM,0.573,0.558,103.687,-0.432,-6.352,-0.268,96.717
Pure_1D_CNN,0.53,0.532,103.687,0.032,-9.665,-0.488,84.5
