date,ticker,open,high,low,close,volume,bias_week,bias_month,bias_quarter,bias_year,rsi,macd,macd_signal,vol_change,close_change,target,predict_proba
2022-03-17,2388.TW,60.38178514761838,61.458282241715395,59.696739845376385,61.36042022705078,4414064,0.03499503236337658,-0.0007171886651618772,-0.13891369971786824,0.03636288251121018,51.97368401735417,-2.622561445583422,-2.986583959974855,0.16776960297996513,0.048495077564864264,0,
2022-03-18,2388.TW,61.360418207543944,63.41555404663086,60.77323493929206,63.41555404663086,4329472,0.054687490086931516,0.034730544304138196,-0.10552834393306705,0.06998088644142803,53.05466602242959,-2.1594501193667526,-2.8211571918532345,-0.019164198797298804,0.033492825048712316,0,
2022-03-21,2388.TW,65.47068477493846,65.86214027886967,62.63264170442802,62.92623519897461,5925318,0.03676232477926146,0.029458831489975263,-0.10853343007856137,0.06071507271230158,48.287660008661454,-1.8110384742024337,-2.6191334483230744,0.368600605339404,-0.007716069898189959,0,
2022-03-22,2388.TW,62.926242242747264,64.1984634399414,62.43692094146191,64.1984634399414,1771590,0.03404795880983346,0.050861052855405944,-0.08599028454610366,0.08106484669828089,44.89050666799413,-1.4159394797179132,-2.3784946546020422,-0.701013515223993,0.020217771442133436,0,
2022-03-23,2388.TW,64.88350732693273,65.07923135196039,63.61127876507406,63.70914077758789,2446360,0.009302277909000232,0.042183560890739075,-0.08742588535187344,0.07184905294388365,48.046877411765585,-1.1292872094722881,-2.1286531655760914,0.38088383881146304,-0.007622030748622,0,
2022-03-24,2388.TW,63.219817927010006,65.86213684082031,63.219817927010006,65.86213684082031,3659971,0.02873734004961225,0.07499393394615042,-0.05237969003333605,0.10686003178899318,56.42022552342652,-0.7200837538428075,-1.8469392832294347,0.49608847430468117,0.03379414691446936,0,
2022-03-25,2388.TW,65.86214118617464,66.05786520764015,64.19845713814654,64.68777465820312,3460414,0.006394605731104555,0.051961413468511596,-0.06451240110749414,0.08610665479581592,65.315297952051,-0.48495798689068437,-1.5745430239616847,-0.05452420251417289,-0.017830611622205006,0,
2022-03-28,2388.TW,64.58992152377112,65.2749631594354,63.12196876186723,65.1771011352539,2460495,0.0069550310975959396,0.05680742919815695,-0.05294586427805389,0.0936077081826047,74.6268465150694,-0.25618146490543836,-1.3108707121504355,-0.2889593557302681,0.007564435160063665,0,
2022-03-29,2388.TW,65.8621438492883,66.15572989335762,64.9813707842941,65.66641235351562,1962759,0.009933775805780469,0.06322291445580167,-0.04142860996948923,0.10117216452455793,73.71131757349053,-0.03498777967212874,-1.0556941256547743,-0.20229100242024467,0.007507409960536782,0,
2022-03-30,2388.TW,67.03650900745372,67.62368861497016,64.98137664794922,64.98137664794922,4122619,-0.004497646229546797,0.053801095836397105,-0.046205319552178825,0.0890765876237929,67.77779889809747,0.08406411435063177,-0.8277424776536931,1.1004203776418806,-0.01043205622196186,0,
2022-03-31,2388.TW,65.47068520394275,65.86214071043902,64.19845667442803,64.49205017089844,1403886,-0.00782900676255021,0.046031710867454376,-0.04842129584140223,0.08015720982241331,64.99997937569805,0.13734580392736717,-0.6347248213374811,-0.6594674404789771,-0.007530257164322873,0,
2022-04-01,2388.TW,63.6112760587503,64.49204906668845,63.219820558956386,64.10059356689453,1267299,-0.0120664441076519,0.03844622048900235,-0.048817754994797125,0.07272981807425154,61.714249006964835,0.14629821562475342,-0.4785202139450342,-0.09729208781909637,-0.0060698427630472285,0,
2022-04-06,2388.TW,63.513417478782046,64.10059702697188,62.33905464920585,62.53478240966797,1625900,-0.028284661689600907,0.00939894946173558,-0.06692626176461136,0.04583364205156244,66.6666505667422,0.02673698471859609,-0.3774687742123082,0.28296479362802307,-0.024427404959869836,0,
2022-04-07,2388.TW,62.53457764246215,63.62818556484375,59.94968032836914,59.94968032836914,2462120,-0.051604631271820696,-0.03579971827259238,-0.09977097487496389,0.001963517435503711,54.15717808784967,-0.2734600087698169,-0.35666702112380994,0.5143120733132418,-0.04133862758750351,0,
2022-04-08,2388.TW,60.24793328218026,61.14270610809326,59.35316424880244,59.65142059326172,1637176,-0.040136077045832816,-0.04289692039111315,-0.09874307687024471,-0.003466645520046827,44.15806157815928,-0.5293335294457222,-0.3912003227881924,-0.3350543434113691,-0.004975168065513125,0,
2022-04-11,2388.TW,60.84445048314475,61.73921952710358,57.165945411220065,57.364784240722656,3167035,-0.055261100933392024,-0.07858547424515334,-0.12731632764606074,-0.041961673359209056,29.638683793781496,-0.9061816831186178,-0.4941965948542775,0.9344499308565481,-0.03833330924556999,0,
2022-04-12,2388.TW,57.36478351948376,58.45839137919541,56.76826703847589,56.967105865478516,2096155,-0.039236116543910536,-0.08332381070143799,-0.12734891204122425,-0.04895846414135503,29.82261620787129,-1.2228298598548193,-0.6399232478543859,-0.338133301337055,-0.006932447851199841,0,
